2026-05-16 11:50:05,517 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:09,613 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:13,686 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:17,782 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:21,838 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:25,920 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:29,978 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:34,056 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:38,142 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:42,215 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:46,324 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:50,390 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:54,463 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:50:58,559 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:02,634 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:06,730 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:10,814 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:14,910 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:18,974 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:23,086 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:27,177 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:31,246 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:35,317 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:39,387 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:43,470 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:47,534 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:51,639 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:55,721 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:51:59,786 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:52:03,883 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:52:07,960 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:52:12,057 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:52:16,128 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:52:20,207 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:52:24,277 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:52:28,345 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:52:32,426 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:52:36,498 | WARNING  | agent.ai_connector | [AI] Modèle IA non disponible (Connection refusée)
2026-05-16 11:52:36,498 | INFO     | agent.ai_connector | [AI] Lot traité : 0/100 articles analysés
2026-05-16 11:52:36,498 | INFO     | scheduler.scheduler | Analyse IA terminée : 0 articles traités
2026-05-16 11:52:36,514 | INFO     | apscheduler.scheduler | Added job "Collecte automatique des news" to job store "default"
2026-05-16 11:52:36,514 | INFO     | apscheduler.scheduler | Scheduler started
2026-05-16 12:45:36,751 | INFO     | apscheduler.executors.default | Running job "Collecte automatique des news (trigger: interval[1:00:00], next run at: 2026-05-16 13:45:36 CEST)" (scheduled at 2026-05-16 12:45:36.731296+02:00)
2026-05-16 12:45:36,767 | INFO     | scheduler.scheduler | ════════════════════════════════════════════════════════════
2026-05-16 12:45:36,767 | INFO     | scheduler.scheduler |   LANCEMENT DU JOB DE COLLECTE AUTOMATIQUE
2026-05-16 12:45:36,767 | INFO     | scheduler.scheduler | ════════════════════════════════════════════════════════════
2026-05-16 12:45:36,778 | INFO     | agent.database | [DB] Base de données initialisée.
2026-05-16 12:45:36,783 | INFO     | agent.collector | ============================================================
2026-05-16 12:45:36,783 | INFO     | agent.collector | DÉMARRAGE DU PIPELINE DE COLLECTE
2026-05-16 12:45:36,783 | INFO     | agent.collector | ============================================================
2026-05-16 12:45:36,783 | INFO     | agent.collector | [RSS] Collecte depuis BBC → http://feeds.bbci.co.uk/news/rss.xml
2026-05-16 12:45:37,783 | INFO     | agent.collector | [RSS] 31 articles collectés depuis BBC
2026-05-16 12:45:38,796 | INFO     | agent.collector | [RSS] Collecte depuis Reuters → https://feeds.reuters.com/reuters/topNews
2026-05-16 12:45:38,938 | INFO     | agent.collector | [RSS] 0 articles collectés depuis Reuters
2026-05-16 12:45:39,943 | INFO     | agent.collector | [RSS] Collecte depuis CNN → http://rss.cnn.com/rss/edition.rss
2026-05-16 12:45:41,154 | INFO     | agent.collector | [RSS] 50 articles collectés depuis CNN
2026-05-16 12:45:42,157 | INFO     | agent.collector | [RSS] Collecte depuis Al Jazeera → https://www.aljazeera.com/xml/rss/all.xml
2026-05-16 12:45:42,672 | INFO     | agent.collector | [RSS] 25 articles collectés depuis Al Jazeera
2026-05-16 12:45:43,678 | INFO     | agent.collector | [RSS] Collecte depuis DW → https://rss.dw.com/rdf/rss-en-all
2026-05-16 12:45:44,771 | INFO     | agent.collector | [RSS] 137 articles collectés depuis DW
2026-05-16 12:45:46,068 | INFO     | utils.deduplicator | [DEDUP] 0 doublon(s) supprimé(s) sur 243 articles
2026-05-16 12:45:51,765 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:45:57,447 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:46:03,079 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:46:08,778 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:46:14,439 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:46:19,925 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:46:25,498 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:46:31,131 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:46:36,681 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:46:42,237 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:46:47,706 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:46:53,175 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:46:58,677 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:47:04,221 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:47:09,694 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:47:15,146 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:47:20,627 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:47:26,074 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:47:31,507 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:47:36,921 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:47:42,367 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:47:47,834 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:47:53,293 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:47:58,830 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:48:04,281 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:48:09,902 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:48:15,459 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:48:21,080 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:48:26,650 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:48:32,181 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:48:37,683 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:48:43,168 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:48:48,722 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:48:54,218 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:48:59,766 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:49:05,305 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:49:10,805 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:49:16,357 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:49:21,895 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:49:27,443 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:49:32,942 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:49:38,503 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:49:44,022 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:49:49,548 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:49:55,209 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-05-16 12:50:00,748 | ERROR    | agent.database | [DB] Erreur sauvegarde : database is locked
2026-06-04 12:11:25,193 | INFO     | __main__ | MODE : collecte unique
2026-06-04 12:11:26,269 | INFO     | scheduler.scheduler | ════════════════════════════════════════════════════════════
2026-06-04 12:11:26,269 | INFO     | scheduler.scheduler |   LANCEMENT DU JOB DE COLLECTE AUTOMATIQUE
2026-06-04 12:11:26,271 | INFO     | scheduler.scheduler | ════════════════════════════════════════════════════════════
2026-06-04 12:11:26,273 | INFO     | agent.database | [DB] Base de données initialisée.
2026-06-04 12:11:26,273 | INFO     | agent.collector | ============================================================
2026-06-04 12:11:26,274 | INFO     | agent.collector | DÉMARRAGE DU PIPELINE DE COLLECTE
2026-06-04 12:11:26,274 | INFO     | agent.collector | ============================================================
2026-06-04 12:11:26,274 | INFO     | agent.collector | [RSS] Collecte depuis BBC → http://feeds.bbci.co.uk/news/rss.xml
2026-06-04 12:11:27,354 | INFO     | agent.collector | [RSS] 34 articles collectés depuis BBC
2026-06-04 12:11:28,365 | INFO     | agent.collector | [RSS] Collecte depuis Reuters → https://feeds.reuters.com/reuters/topNews
2026-06-04 12:11:28,616 | INFO     | agent.collector | [RSS] 0 articles collectés depuis Reuters
2026-06-04 12:11:29,628 | INFO     | agent.collector | [RSS] Collecte depuis CNN → http://rss.cnn.com/rss/edition.rss
2026-06-04 12:11:30,197 | INFO     | agent.collector | [RSS] 50 articles collectés depuis CNN
2026-06-04 12:11:31,199 | INFO     | agent.collector | [RSS] Collecte depuis Al Jazeera → https://www.aljazeera.com/xml/rss/all.xml
2026-06-04 12:11:31,467 | INFO     | agent.collector | [RSS] 25 articles collectés depuis Al Jazeera
2026-06-04 12:11:32,468 | INFO     | agent.collector | [RSS] Collecte depuis DW → https://rss.dw.com/rdf/rss-en-all
2026-06-04 12:11:33,298 | INFO     | agent.collector | [RSS] 143 articles collectés depuis DW
2026-06-04 12:11:34,429 | INFO     | utils.deduplicator | [DEDUP] 0 doublon(s) supprimé(s) sur 252 articles
2026-06-04 12:11:36,415 | INFO     | agent.collector | PIPELINE TERMINÉ — {'collected': 252, 'duplicates': 0, 'invalid_source': 0, 'stored': 252}
